,State,Year,Month,Day,Total_Cases,Total_Deaths,Total_Positives,Total_Negatives,Vaccine_Dist,Vaccine_Admin,Vaccine_Int,Vaccine_Complete,Add_Dose,Monthly Cases,Monthly Deaths,Monthly Positive,Monthly Negatives,Monthly Vaccine Completed
49,AZ,2021,10,31,1167559.0,21154.0,1199056.0,9773787.0,10824600.0,8814272.0,4459210.0,3866294.0,365601.0,75317.0,1170.0,71173.0,608662.0,147901.0
50,AZ,2021,11,30,1268439.0,22307.0,1299302.0,10399126.0,11729770.0,9594424.0,4680309.0,3979250.0,781987.0,100880.0,1153.0,100246.0,625339.0,112956.0
51,AZ,2021,12,31,1380147.0,24229.0,1414484.0,11060001.0,12598570.0,10525237.0,4907791.0,4155417.0,1262893.0,111708.0,1922.0,115182.0,660875.0,176167.0
52,CA,2020,12,31,2307860.0,25965.0,2384446.0,27503736.0,1566700.0,333373.0,0.0,0.0,0.0,927713.0,1736.0,969962.0,16443735.0,-4155417.0
53,CA,2021,1,31,3324064.0,40928.0,3329116.0,34115757.0,5666550.0,3285351.0,0.0,0.0,0.0,1016204.0,14963.0,944670.0,6612021.0,0.0
54,CA,2021,2,28,3569578.0,52213.0,3543233.0,38076761.0,11587650.0,8821044.0,6141765.0,0.0,0.0,245514.0,11285.0,214117.0,3961004.0,0.0
55,CA,2021,3,31,3669048.0,59260.0,3634089.0,42725539.0,23660110.0,18223412.0,12120118.0,6348325.0,0.0,99470.0,7047.0,90856.0,4648778.0,6348325.0
56,CA,2021,4,30,3742224.0,61756.0,3707296.0,47805439.0,38918500.0,30223491.0,19178415.0,11945441.0,0.0,73176.0,2496.0,73207.0,5079900.0,5597116.0
57,CA,2021,5,31,3789883.0,63249.0,3751268.0,52390557.0,47404720.0,38398021.0,22461033.0,17069789.0,0.0,47659.0,1493.0,43972.0,4585118.0,5124348.0
58,CA,2021,6,30,3816704.0,63662.0,3788221.0,56026349.0,49139975.0,42644084.0,24241875.0,19679334.0,0.0,26821.0,413.0,36953.0,3635792.0,2609545.0
59,CA,2021,7,31,4037490.0,64417.0,3960902.0,59475822.0,51018395.0,45139705.0,25611830.0,20870533.0,0.0,220786.0,755.0,172681.0,3449473.0,1191199.0
60,CA,2021,8,31,4449186.0,65863.0,4403009.0,66803594.0,54948675.0,48012379.0,27215365.0,22075470.0,0.0,411696.0,1446.0,442107.0,7327772.0,1204937.0
61,CA,2021,9,30,4739046.0,69278.0,4723914.0,75998120.0,58398465.0,50639664.0,28341309.0,23302641.0,0.0,289860.0,3415.0,320905.0,9194526.0,1227171.0
62,CA,2021,10,31,4917683.0,72140.0,4936852.0,84792872.0,63317305.0,54303185.0,29473427.0,24224020.0,2201920.0,178637.0,2862.0,212938.0,8794752.0,921379.0
63,CA,2021,11,30,5085477.0,74670.0,5121341.0,92277831.0,70629795.0,59597608.0,31147534.0,24958124.0,5124890.0,167794.0,2530.0,184489.0,7484959.0,734104.0
